YEAR,LOCATION,AGE_GROUP,METRIC,Sum(FINES),Sum(ARRESTS),Sum(CHARGES)
2008,All regions,All ages,mobile_phone_use,155999,0,0
2008,All regions,All ages,speed_fines,2639479,0,0
2009,All regions,All ages,mobile_phone_use,165252,0,0
2009,All regions,All ages,speed_fines,2576271,0,0
2010,All regions,All ages,mobile_phone_use,171829,0,0
2010,All regions,All ages,speed_fines,2518363,0,0
2011,All regions,All ages,mobile_phone_use,159874,0,0
2011,All regions,All ages,speed_fines,2856108,0,0
2012,All regions,All ages,mobile_phone_use,166975,0,0
2012,All regions,All ages,speed_fines,3004162,0,0
2013,All regions,All ages,mobile_phone_use,146415,0,0
2013,All regions,All ages,speed_fines,2907678,0,0
2014,All regions,All ages,mobile_phone_use,132619,0,0
2014,All regions,All ages,speed_fines,3669800,0,0
2015,All regions,All ages,mobile_phone_use,128385,0,0
2015,All regions,All ages,speed_fines,3797740,0,0
2016,All regions,All ages,mobile_phone_use,114981,0,0
2016,All regions,All ages,speed_fines,3265399,0,0
2017,All regions,All ages,mobile_phone_use,117909,0,0
2017,All regions,All ages,non_wearing_seatbelts,30263,0,0
2017,All regions,All ages,speed_fines,3691401,0,0
2018,All regions,All ages,mobile_phone_use,113981,0,0
2018,All regions,All ages,non_wearing_seatbelts,57554,0,0
2018,All regions,All ages,speed_fines,4279816,0,0
2019,All regions,All ages,mobile_phone_use,97367,0,0
2019,All regions,All ages,non_wearing_seatbelts,52749,0,0
2019,All regions,All ages,speed_fines,3696730,0,0
2020,All regions,All ages,mobile_phone_use,195151,0,0
2020,All regions,All ages,non_wearing_seatbelts,35910,0,0
2020,All regions,All ages,speed_fines,3773473,0,0
2021,All regions,All ages,mobile_phone_use,221080,0,0
2021,All regions,All ages,non_wearing_seatbelts,33193,0,0
2021,All regions,All ages,speed_fines,4867138,0,0
2022,All regions,All ages,mobile_phone_use,362342,0,0
2022,All regions,All ages,non_wearing_seatbelts,80470,0,0
2022,All regions,All ages,speed_fines,4551342,0,0
2023,All Regions,0-16,mobile_phone_use,3,0,1
2023,All Regions,0-16,non_wearing_seatbelts,13,3,11
2023,All Regions,0-16,speed_fines,132,9,31
2023,All Regions,0-16,unlicensed_driving,4,400,827
2023,All Regions,17-25,mobile_phone_use,2646,3,53
2023,All Regions,17-25,non_wearing_seatbelts,1475,20,220
2023,All Regions,17-25,speed_fines,137542,44,529
2023,All Regions,17-25,unlicensed_driving,1733,868,5854
2023,All Regions,26-39,mobile_phone_use,5087,4,90
2023,All Regions,26-39,non_wearing_seatbelts,2852,33,337
2023,All Regions,26-39,speed_fines,343087,62,940
2023,All Regions,26-39,unlicensed_driving,4364,1945,10073
2023,All Regions,40-64,mobile_phone_use,4086,3,54
2023,All Regions,40-64,non_wearing_seatbelts,2681,0,86
2023,All Regions,40-64,speed_fines,516285,35,779
2023,All Regions,40-64,unlicensed_driving,3484,801,6215
2023,All Regions,65 and over,mobile_phone_use,605,2,12
2023,All Regions,65 and over,non_wearing_seatbelts,905,10,96
2023,All Regions,65 and over,speed_fines,135991,9,151
2023,All Regions,65 and over,unlicensed_driving,344,107,605
2023,All Regions,All Age,mobile_phone_use,283932,0,0
2023,All Regions,All Age,non_wearing_seatbelts,38234,0,0
