YEAR,Month (Number),Sum(FINES)
2008,1,2795478
2009,1,2741523
2010,1,2690192
2011,1,3015982
2012,1,3171137
2013,1,3054093
2014,1,3802419
2015,1,3926125
2016,1,3380380
2017,1,3839573
2018,1,4451351
2019,1,3846846
2020,1,4004534
2021,1,5121411
2022,1,4994154
2023,1,1313018
2023,2,291559
2023,3,318446
2023,4,288038
2023,5,294860
2023,6,283015
2023,7,303725
2023,8,325276
2023,9,318612
2023,10,327866
2023,11,330023
2023,12,340449
2024,1,373374
2024,2,362633
2024,3,371586
2024,4,352732
2024,5,370122
2024,6,344364
2024,7,380774
2024,8,373189
2024,9,279901
2024,10,218155
2024,11,221469
2024,12,240425
